REPORTE DE VACUNACIÓN COVID-19
==============================
Fecha de generación: 2025-08-24 06:28:35

1. CIUDADANOS NO VACUNADOS (362):
   ID: 1, Nombre: Ciudadano 001, Cédula: 76172264
   ID: 3, Nombre: Ciudadano 003, Cédula: 69043512
   ID: 4, Nombre: Ciudadano 004, Cédula: 99988109
   ID: 5, Nombre: Ciudadano 005, Cédula: 73889681
   ID: 9, Nombre: Ciudadano 009, Cédula: 22387920
   ID: 10, Nombre: Ciudadano 010, Cédula: 29620355
   ID: 11, Nombre: Ciudadano 011, Cédula: 57612583
   ID: 15, Nombre: Ciudadano 015, Cédula: 47937958
   ID: 17, Nombre: Ciudadano 017, Cédula: 93894415
   ID: 18, Nombre: Ciudadano 018, Cédula: 57226078
   ID: 19, Nombre: Ciudadano 019, Cédula: 20671305
   ID: 20, Nombre: Ciudadano 020, Cédula: 91356321
   ID: 21, Nombre: Ciudadano 021, Cédula: 51407097
   ID: 22, Nombre: Ciudadano 022, Cédula: 48879684
   ID: 23, Nombre: Ciudadano 023, Cédula: 90416352
   ID: 24, Nombre: Ciudadano 024, Cédula: 26410749
   ID: 26, Nombre: Ciudadano 026, Cédula: 91886010
   ID: 27, Nombre: Ciudadano 027, Cédula: 96073103
   ID: 29, Nombre: Ciudadano 029, Cédula: 63736432
   ID: 30, Nombre: Ciudadano 030, Cédula: 58917268
   ID: 31, Nombre: Ciudadano 031, Cédula: 16034889
   ID: 33, Nombre: Ciudadano 033, Cédula: 55386836
   ID: 35, Nombre: Ciudadano 035, Cédula: 59066961
   ID: 36, Nombre: Ciudadano 036, Cédula: 20124663
   ID: 37, Nombre: Ciudadano 037, Cédula: 92988355
   ID: 38, Nombre: Ciudadano 038, Cédula: 94983131
   ID: 39, Nombre: Ciudadano 039, Cédula: 95290945
   ID: 40, Nombre: Ciudadano 040, Cédula: 16572747
   ID: 41, Nombre: Ciudadano 041, Cédula: 79706124
   ID: 42, Nombre: Ciudadano 042, Cédula: 44919706
   ID: 44, Nombre: Ciudadano 044, Cédula: 72384038
   ID: 45, Nombre: Ciudadano 045, Cédula: 27207521
   ID: 46, Nombre: Ciudadano 046, Cédula: 87071284
   ID: 49, Nombre: Ciudadano 049, Cédula: 20213689
   ID: 50, Nombre: Ciudadano 050, Cédula: 88730303
   ID: 51, Nombre: Ciudadano 051, Cédula: 76845213
   ID: 52, Nombre: Ciudadano 052, Cédula: 42970799
   ID: 54, Nombre: Ciudadano 054, Cédula: 78203750
   ID: 56, Nombre: Ciudadano 056, Cédula: 62951565
   ID: 57, Nombre: Ciudadano 057, Cédula: 11707288
   ID: 58, Nombre: Ciudadano 058, Cédula: 62653488
   ID: 59, Nombre: Ciudadano 059, Cédula: 77418284
   ID: 60, Nombre: Ciudadano 060, Cédula: 44649131
   ID: 62, Nombre: Ciudadano 062, Cédula: 73900060
   ID: 63, Nombre: Ciudadano 063, Cédula: 58138964
   ID: 64, Nombre: Ciudadano 064, Cédula: 82979438
   ID: 65, Nombre: Ciudadano 065, Cédula: 17833332
   ID: 66, Nombre: Ciudadano 066, Cédula: 41306555
   ID: 67, Nombre: Ciudadano 067, Cédula: 82814752
   ID: 68, Nombre: Ciudadano 068, Cédula: 33832512
   ID: 69, Nombre: Ciudadano 069, Cédula: 44663999
   ID: 71, Nombre: Ciudadano 071, Cédula: 40497081
   ID: 72, Nombre: Ciudadano 072, Cédula: 73594257
   ID: 73, Nombre: Ciudadano 073, Cédula: 55865022
   ID: 74, Nombre: Ciudadano 074, Cédula: 55751241
   ID: 75, Nombre: Ciudadano 075, Cédula: 53071287
   ID: 76, Nombre: Ciudadano 076, Cédula: 86594016
   ID: 78, Nombre: Ciudadano 078, Cédula: 63756638
   ID: 80, Nombre: Ciudadano 080, Cédula: 72142255
   ID: 81, Nombre: Ciudadano 081, Cédula: 28338532
   ID: 83, Nombre: Ciudadano 083, Cédula: 92197821
   ID: 88, Nombre: Ciudadano 088, Cédula: 16297579
   ID: 92, Nombre: Ciudadano 092, Cédula: 96290668
   ID: 93, Nombre: Ciudadano 093, Cédula: 10509999
   ID: 95, Nombre: Ciudadano 095, Cédula: 11145743
   ID: 96, Nombre: Ciudadano 096, Cédula: 96799941
   ID: 97, Nombre: Ciudadano 097, Cédula: 61929936
   ID: 99, Nombre: Ciudadano 099, Cédula: 38074722
   ID: 100, Nombre: Ciudadano 100, Cédula: 58122341
   ID: 104, Nombre: Ciudadano 104, Cédula: 33781543
   ID: 107, Nombre: Ciudadano 107, Cédula: 38121856
   ID: 108, Nombre: Ciudadano 108, Cédula: 17954964
   ID: 109, Nombre: Ciudadano 109, Cédula: 30783137
   ID: 111, Nombre: Ciudadano 111, Cédula: 75543947
   ID: 112, Nombre: Ciudadano 112, Cédula: 27510156
   ID: 113, Nombre: Ciudadano 113, Cédula: 63950053
   ID: 114, Nombre: Ciudadano 114, Cédula: 98624408
   ID: 115, Nombre: Ciudadano 115, Cédula: 10824465
   ID: 117, Nombre: Ciudadano 117, Cédula: 11183398
   ID: 120, Nombre: Ciudadano 120, Cédula: 60280662
   ID: 121, Nombre: Ciudadano 121, Cédula: 10630929
   ID: 122, Nombre: Ciudadano 122, Cédula: 19212608
   ID: 123, Nombre: Ciudadano 123, Cédula: 35647847
   ID: 124, Nombre: Ciudadano 124, Cédula: 19771112
   ID: 125, Nombre: Ciudadano 125, Cédula: 79514689
   ID: 126, Nombre: Ciudadano 126, Cédula: 20379936
   ID: 128, Nombre: Ciudadano 128, Cédula: 57987982
   ID: 131, Nombre: Ciudadano 131, Cédula: 13993190
   ID: 133, Nombre: Ciudadano 133, Cédula: 75806948
   ID: 134, Nombre: Ciudadano 134, Cédula: 18368741
   ID: 135, Nombre: Ciudadano 135, Cédula: 57040295
   ID: 136, Nombre: Ciudadano 136, Cédula: 47995064
   ID: 138, Nombre: Ciudadano 138, Cédula: 19450946
   ID: 140, Nombre: Ciudadano 140, Cédula: 67674332
   ID: 141, Nombre: Ciudadano 141, Cédula: 72770336
   ID: 142, Nombre: Ciudadano 142, Cédula: 17666438
   ID: 143, Nombre: Ciudadano 143, Cédula: 89676138
   ID: 144, Nombre: Ciudadano 144, Cédula: 55794486
   ID: 145, Nombre: Ciudadano 145, Cédula: 69335435
   ID: 147, Nombre: Ciudadano 147, Cédula: 46635922
   ID: 148, Nombre: Ciudadano 148, Cédula: 26065836
   ID: 151, Nombre: Ciudadano 151, Cédula: 23177309
   ID: 152, Nombre: Ciudadano 152, Cédula: 80302186
   ID: 154, Nombre: Ciudadano 154, Cédula: 65175444
   ID: 155, Nombre: Ciudadano 155, Cédula: 59901863
   ID: 156, Nombre: Ciudadano 156, Cédula: 52919117
   ID: 157, Nombre: Ciudadano 157, Cédula: 35740479
   ID: 158, Nombre: Ciudadano 158, Cédula: 20760252
   ID: 159, Nombre: Ciudadano 159, Cédula: 16734650
   ID: 160, Nombre: Ciudadano 160, Cédula: 49861681
